음낭 부종: 음낭 팽창, 음낭 종양, 고환 부어있음, 고환 종양, 고환 부종
빛이나 소리 공포증: 광공포증, 소리 공포증, 빛 공포증, 소음 공포증, 빛과 소리에 대한 두려움
미세반점의 군집: 작은 반점들, 군집된 반점, 피부 미세반점, 미세반점 모임, 작고 많은 반점
발적: 붉은 피부, 피부 발진, 붉은 반점, 피부 염증, 피부 붉어짐
뼈 전이: 뼈로 퍼짐, 뼈로 전이된 암, 뼈로의 전이, 뼈로 확산, 뼈 전이 증상
수면 중 보행: 잠결에 걷기, 몽유병, 수면 보행, 자면서 걷기, 잠 중 보행
시력 감소: 시력 저하, 눈 시력 약화, 시력 손실, 시력 문제, 시각 저하
말초 신경장애: 말초 신경 문제, 말초 신경 손상, 말초 신경 이상, 신경 장애, 말초 신경 기능 저하
비웃는 듯한 표정: 냉소적 표정, 비웃음, 조롱하는 얼굴, 비웃는 얼굴, 조롱하는 표정
혼돈: 혼란, 정신 혼란, 혼동 상태, 정신적 혼란, 머리 속 혼란
말초 통증: 손발 통증, 말단 통증, 말초부 통증, 팔다리 통증, 말초의 아픔
농신증: 신장 염증, 신장 감염, 신장 질환, 신장 농양, 신장에 염증
창백: 얼굴 창백, 피부 창백, 혈색 없음, 창백한 상태, 얼굴 하얘짐
척추 후만: 척추 굽음, 척추 만곡, 척추 곡선, 척추 기형, 뒤로 휜 척추
흉곽 팽윤: 가슴 부기, 흉곽 부풀어오름, 가슴 확장, 흉부 팽창, 흉곽의 부기
모발이 가늘어짐: 머리카락 얇아짐, 가는 머리카락, 얇아진 모발, 모발 가늘어짐 증상, 머리카락의 가늘어짐
부유물이 보임: 떠다니는 물질, 부유물 관찰, 부유물 존재, 부유물 증상, 떠다니는 이물질
얼굴의 나비모양 홍반: 나비모양 발진, 얼굴 발진, 나비모양 붉은 반점, 얼굴의 나비 발진, 나비 모양의 홍반
자세이상: 자세 문제, 자세 불균형, 비정상적 자세, 자세 불량, 자세의 이상
비출혈: 코피, 코에서 피남, 코피 증상, 비강 출혈, 코 출혈
말초의 허혈: 손발 혈류 부족, 말초 혈액 문제, 말초 혈류 저하, 손발 혈액 순환 문제, 말초 허혈 증상
악취가 나는 설사: 냄새나는 설사, 고약한 냄새 설사, 악취 설사, 냄새 심한 설사, 악취 동반 설사
목 뒷부분의 지방축적: 목뒤 지방, 목뒤 살, 목의 지방 축적, 뒷목 지방, 목 뒷부분 살
파열음: 터지는 소리, 찢어지는 소리, 파열 소리, 갈라지는 소리, 파열음 증상
심부정맥혈전증: 깊은 정맥 혈전, 심부정맥 혈전증, 깊은 혈관 혈전, 심부 혈전, 혈관에 생긴 혈전
구강건조: 입마름, 입안 건조, 구강의 건조, 마른 입, 건조한 구강
대사성 산증: 대사성 산성화, 대사 문제, 대사 장애, 대사성 산성, 대사성 문제
체중증가: 살찌기, 체중 늘어남, 몸무게 증가, 체중 변화, 살이 찜
손가락 운동장애: 손가락 움직임 문제, 손가락 기능 저하, 손가락 운동 문제, 손가락 운동 장애 증상, 손가락 움직임 불가
근시: 가까운 것만 보임, 근거리 시력, 근시안, 원거리 시력 저하, 근시 증상
목의 이물감: 목에 걸린 느낌, 목에 뭔가 있는 느낌, 목 이물질, 목에 걸린 것 같은 느낌, 목의 불편감
무릎 부위 부종: 무릎 부기, 무릎 붓기, 부은 무릎, 무릎의 부종, 무릎 부풀어오름
음낭 부종: 고환 부기, 음낭 붓기, 부은 음낭, 음낭의 부종, 고환 부종
태아 뼈: 아기 뼈, 태아 골격, 태아의 뼈, 태아 골격 문제, 아기 골격
근긴장의 이상: 근육 긴장 문제, 근육 긴장 이상, 근육의 긴장도 변화, 근육의 긴장 문제, 비정상적 근긴장
반복적인 동작: 반복 행동, 지속적인 동작, 같은 동작 반복, 반복적 움직임, 동작의 반복
고환 불쾌감: 고환의 불편감, 고환 통증, 고환 불편, 고환의 문제, 고환 이상
환청: 헛소리 들림, 들리지 않는 소리, 소리 환상, 환청 증상, 환각 소리
코플릭 반점: 코플릭 점, 입 안 반점, 코플릭 증상, 입안의 반점, 코플릭 징후
멍: 타박상, 피멍, 피부 멍, 멍 자국, 멍든 자리
생식기 출혈: 성기 출혈, 생식기에서 피남, 성기에서 피, 생식기 피출, 생식기 혈액
성생활이 힘듦: 성생활 문제, 성생활 불편, 성관계 문제, 성생활 어려움, 성생활의 불편
유방의 과다 성장: 유방 비대, 유방 성장, 유방 커짐, 큰 유방, 유방의 비대
늑막삼출: 흉막 삼출, 늑막에 물참, 흉막에 물참, 흉막 삼출증, 늑막의 삼출
심실세동: 심장세동, 심실 떨림, 심실의 세동, 심실 문제, 심장의 세동
방향감각 상실: 방향 잃음, 방향 감각 문제, 방향 인식 불가, 방향 감각 장애, 길 찾기 어려움
유루증: 눈물 흐름, 눈물 과다, 눈물 많이 남, 눈물 과다 증상, 눈물샘 문제
요독증: 요독 축적, 혈액 내 요독, 신장 요독증, 요독 증가, 신장의 요독
눈부심: 빛에 민감함, 눈이 부심, 밝은 빛 불편, 눈부신 상태, 강한 빛 민감
지방변: 기름진 변, 지방이 섞인 변, 기름 변, 지방 함유 변, 지방 배출
영양 불량: 영양 부족, 영양 결핍, 영양 불균형, 영양 상태 불량, 영양 문제
전신 통증: 온몸의 통증, 몸 전체 통증, 전신 아픔, 몸의 통증, 전신의 아픔
놀람반사의 약화: 놀람 반응 감소, 놀람 반사 저하, 놀람 반응 약해짐, 놀람 반사 약화, 놀람 반응 둔해짐
인내심이 부족함: 참을성 부족, 인내심 결여, 참을성 없음, 인내심 약함, 인내 부족
눈의 피로: 눈 피로감, 피곤한 눈, 눈의 피곤함, 눈의 피로 증상, 눈이 피곤함
유방 크기의 감소: 유방 축소, 유방 크기 줄어듦, 유방 작아짐, 유방 크기 감소 증상, 유방 크기 문제
분출성 구토: 폭발적 구토, 급작스러운 구토, 분출 구토, 강한 구토, 분출성 토
와해된 행동: 비정상적 행동, 혼란스러운 행동, 무질서한 행동, 행동의 와해, 행동 붕괴
체모감소: 체모 줄어듦, 털 감소, 몸털 줄어듦, 체모 적어짐, 몸털 감소
목소리 변화: 목소리 변함, 음성 변화, 목소리 변화 증상, 목소리 이상, 음성 문제
딱지: 상처 딱지, 흉터 딱지, 굳은 딱지, 딱지 형성, 딱지 증상
금단증상: 금단 현상, 금단 증세, 금단 문제, 금단 징후, 금단의 고통
사춘기 지연: 늦어진 사춘기, 사춘기 지체, 사춘기 발달 지연, 사춘기 늦어짐, 늦은 사춘기
귀두가 울혈됨: 귀두 붓기, 귀두 혈액 저류, 귀두 울혈 증상, 귀두 부기, 귀두 혈액 문제
야만적 행위: 폭력적 행동, 잔인한 행동, 야만적 행동, 과격한 행동, 난폭한 행동
양무릎사이 벌어짐: 벌어진 무릎, 양쪽 무릎 벌어짐, 무릎 간격, 무릎 틈, 양 무릎 사이 간격
만성 부비동염: 만성 비염, 만성 부비동 염증, 만성 코 염증, 만성 부비동 문제, 만성 비강 염증
가래: 점액, 기침 가래, 가래 끓음, 끈적한 가래, 가래 증상
간비대: 커진 간, 간 비대증, 간 크기 증가, 간 확대, 간 비대 상태
야간뇨: 밤에 자주 소변, 야간 배뇨, 야뇨증, 밤중 소변, 밤에 소변 보기
위궤양: 위장 궤양, 위 상처, 위 염증, 위 점막 손상, 위의 궤양
관절의 경직: 뻣뻣한 관절, 경직된 관절, 관절 경직 증상, 굳은 관절, 움직이기 힘든 관절
태선화: 피부의 경화, 피부 굳음, 피부가 딱딱해짐, 굳은 피부, 피부 태선화
병원 쇼핑: 의사 바꾸기, 여러 병원 방문, 병원 전전, 의사 바꾸기 증상, 병원 돌아다님
지연뇨: 지연된 배뇨, 배뇨 지연, 소변 늦어짐, 배뇨 문제, 지연된 소변
피부홍조: 얼굴 붉어짐, 피부 붉음, 붉어진 피부, 얼굴 홍조, 피부 홍조 증상
망상: 환각, 환상, 망상 증상, 잘못된 생각, 망상 장애
더위를 못 견딤: 더위 참기 어려움, 더위 불편, 더위 민감, 더위 견디기 어려움, 더위 문제
뼈의 통증: 뼈 아픔, 뼈의 아픔, 뼈 통증, 뼈 불편감, 뼈의 쑤심
머리모양 변형: 변형된 머리, 머리 기형, 머리 형태 이상, 머리 모양 변화, 머리 모양 문제
눈이 무거운 느낌: 눈의 피로감, 눈의 무거움, 눈 피곤함, 눈의 무겁게 느껴짐, 피로한 눈
온몸이 떨림: 몸의 떨림, 전신 떨림, 몸 떨림 증상, 몸이 떨려요, 몸의 떨림 현상
발바닥 피부 두꺼워짐: 두꺼워진 발바닥, 발바닥 각질, 발바닥 굳음, 발바닥 피부 경화, 발바닥 굳은살
물집: 수포, 물집 생김, 피부 물집, 물집 증상, 물집 형성
복부팽만감: 부은 배, 팽창된 복부, 배가 불러옴, 복부 팽만, 배부름 증상
닭살: 소름, 닭살 돋음, 소름 돋는 현상, 피부 소름, 닭살 증상
사경: 목 뒤틀림, 목 기울어짐, 목 경련, 목 근육 문제, 목 비정상 상태
회음부 불쾌감: 회음부 불편감, 회음부 아픔, 회음부 불쾌함, 회음부 통증, 회음부의 불편
질 밖으로 빠지는 느낌: 질 탈출, 질 밖 느낌, 질 내밀림, 질의 불편감, 질이 빠지는 느낌
고탄산증: 이산화탄소 축적, 혈중 이산화탄소 증가, 고탄산혈증, 이산화탄소 과다, 고탄산 상태
편마비: 한쪽 마비, 편측 마비, 반쪽 마비, 편측 마비 증상, 반신 마비
돌연사: 갑작스런 죽음, 급사, 예기치 못한 사망, 돌연 사망, 급작스런 사망
양막 유착: 태막 유착, 양막 문제, 태막 문제, 양막 부착, 태막 부착
복부 압박 증상: 배 압박, 복부 눌림, 복부 압박감, 배의 압박, 복부 압박 문제
시신경염: 눈 신경 염증, 시신경 문제, 시신경 염증 증상, 눈 신경 문제, 시신경 염증 상태
상동적 행동: 반복 행동, 틀에 박힌 행동, 습관적 행동, 동일한 행동 반복, 상동적 행위
포만감: 배부름, 포만 상태, 배불러요, 가득 참, 배 부른 느낌
미각이상: 맛 감각 문제, 맛 못 느낌, 미각 상실, 맛 인식 문제, 미각 장애
결절: 혹, 덩어리, 결절 증상, 피부 혹, 작은 혹
건망증: 기억력 저하, 기억 상실, 잘 잊음, 기억력 문제, 기억 장애
정맥혈전: 정맥의 혈전, 혈관 내 혈전, 정맥 응고, 혈전 형성, 정맥 막힘
정신 혼미: 혼란 상태, 정신적 혼미, 혼미 증상, 정신 흐림, 혼미 상태
O자 다리: 휜 다리, O형 다리, 다리 변형, 다리 기형, 다리 문제
성욕감퇴: 성욕 저하, 성적 욕구 감소, 성적 욕망 저하, 성적 욕구 문제, 성적 욕구 상실
옆구리 통증: 옆구리 아픔, 옆구리 통증 증상, 옆구리 불편감, 옆구리의 아픔, 옆구리 쑤심
정신 지체: 지적 장애, 지능 저하, 정신적 발달 문제, 정신 발달 지체, 지적 지연
탈장 돌출: 장기 탈출, 탈장 현상, 탈장 문제, 탈장 증상, 돌출된 장기
광대뼈 위치 이상: 광대뼈 문제, 광대뼈 변형, 비정상적 광대뼈, 광대뼈 위치 변화, 광대뼈 기형
언어장애: 말하기 문제, 언어 문제, 언어 소통 장애, 언어 능력 저하, 언어 표현 장애
낮은 지능: 지능 저하, 지적 수준 낮음, 낮은 IQ, 지적 능력 저하, 지적 발달 저하
울퉁불퉁한 상처: 고르지 않은 상처, 울퉁불퉁한 흉터, 울퉁불퉁한 자국, 울퉁불퉁한 상처 자국, 고르지 않은 흉터
사망: 죽음, 사망 증상, 목숨 잃음, 생명 상실, 목숨 끊김
부정맥: 불규칙한 심장 박동, 심장 박동 이상, 심장 리듬 문제, 부정맥 증상, 심박수 이상
발가락의 변형: 발가락 기형, 휜 발가락, 발가락 변형 증상, 발가락 문제, 발가락의 이상
식욕증가: 먹고 싶은 욕구 증가, 식욕 많아짐, 식욕 상승, 많이 먹고 싶음, 식욕 왕성
입술 갈라짐: 트는 입술, 갈라진 입술, 입술 균열, 입술 트기, 건조한 입술
헛배: 부른 배, 헛배부름, 부풀어 오른 배, 더부룩한 배, 팽창된 배
긴장: 불안, 초조함, 긴장 상태, 긴장감, 신경 쓰임
죽음에 대한 공포: 죽음의 두려움, 사망 공포, 죽음에 대한 두려움, 사망 두려움, 죽음의 공포감
신생아-백색의 결절: 아기 피부 결절, 하얀 결절, 신생아의 결절, 신생아 피부의 하얀 결절, 신생아의 피부 결절
다뇨: 소변 많이 봄, 잦은 소변, 다뇨 증상, 자주 소변 보기, 소변의 빈번함
글자가 휘어져보임: 글자 왜곡, 글자가 일그러짐, 글자 왜곡 보임, 글자가 휘어서 보임, 글자 왜곡 증상
두드러기: 피부 발진, 두드러기 증상, 두드러기 반점, 피부의 두드러기, 피부 반점
음핵비대: 큰 음핵, 비대한 음핵, 음핵 크기 증가, 커진 음핵, 음핵의 비대
정서적 둔마: 감정 무딤, 정서적 저하, 감정 둔화, 정서적 둔화, 감정 반응 저하
복수: 복강 내 물참, 배에 물참, 복부 부종, 복부 내 물, 복부의 물참
앞이 뿌옇게 보임: 흐린 시야, 뿌연 시야, 앞이 잘 안 보임, 앞이 흐려짐, 흐릿한 시야
지속적인 애성: 계속되는 애성, 애성 유지, 끊이지 않는 애성, 지속되는 울음소리, 애성 소리
얼굴형태의 이상: 얼굴 기형, 비정상적 얼굴, 얼굴의 이상, 얼굴 형태 문제, 얼굴 모양 변화
유방 통증: 가슴 아픔, 유방의 아픔, 가슴 통증, 유방 불편감, 유방의 통증
경정맥 확장: 목정맥 팽창, 경정맥 부기, 목정맥 확장, 목 혈관 팽창, 경정맥의 확장
빈맥: 빠른 심장 박동, 심박수 증가, 심장 박동 빠름, 빠른 심박수, 심박 급증
음모가 적거나 없음: 음모 감소, 음모 없음, 적은 음모, 음모 부족, 음모의 감소
심실 부정맥: 심장 부정맥, 심실의 불규칙 박동, 심실 리듬 문제, 심실 박동 이상, 심실의 부정맥
뇌부종: 뇌 부기, 뇌 부종 증상, 뇌 부종 문제, 부어오른 뇌, 뇌의 부기
겨드랑이 멍울: 겨드랑이 혹, 겨드랑이 결절, 겨드랑이 부기, 겨드랑이 덩어리, 겨드랑이 멍울 증상
다지증: 손가락이 많음, 발가락이 많음, 다지증 증상, 손가락/발가락 추가, 손가락/발가락이 많음
연속동작의 느림: 느린 동작, 동작 지연, 연속 동작의 지연, 동작 속도 저하, 느려진 동작
눈의 충혈: 빨개진 눈, 눈 피로, 눈의 염증, 충혈된 눈, 피로한 눈
학습장애: 학습 문제, 학습 곤란, 학습 지연, 학습의 어려움, 학습 기능 저하
흑색변: 검은 대변, 까만 변, 어두운 색 변, 검정색 변, 검게 변한 변
발 굴곡 운동의 제한: 발 움직임 제한, 발 굴곡 어려움, 발의 굴곡 제한, 발 굴곡 장애, 발의 움직임 문제
박동성 통증: 맥박 통증, 뛰는 통증, 박동 통증, 맥동 통증, 박동의 아픔
지남력 장애: 방향 감각 상실, 시간/장소 감각 문제, 지남력 저하, 방향 감각 문제, 지남력 손실
실행증: 행동 실행 어려움, 행동 장애, 실행 장애, 행동 실행 문제, 실행 불가
운동 시 호흡곤란: 운동 중 숨참, 운동할 때 호흡 곤란, 운동 시 숨쉬기 어려움, 운동 시 숨가쁨, 운동 시 호흡 문제
근육강직: 근육 경직, 뻣뻣한 근육, 근육의 경직, 근육 굳음, 굳어진 근육
이중음성: 두 겹의 소리, 이중 소리, 두 개의 음성, 이중 목소리, 겹친 소리
기민상태: 예민한 상태, 민감한 상태, 날카로운 상태, 빠른 반응, 예민한 반응
환각: 헛것 보임, 환상, 환시, 헛것 느낌, 헛것 감각
성대마비: 목소리 마비, 성대 기능 상실, 성대 움직임 불가, 성대 문제, 성대의 마비
엄지 발가락의 돌출: 튀어나온 엄지발가락, 돌출된 엄지발가락, 엄지발가락의 돌출, 돌출된 엄지, 엄지의 돌출
사물이 두개로 보임: 이중 시야, 두 개로 보임, 겹쳐 보이는 시야, 두 개로 보이는 것, 이중으로 보임
손 발톱이 갈라짐: 갈라진 손발톱, 깨진 손발톱, 손발톱 균열, 손발톱의 갈라짐, 부서진 손발톱
임신 주수보다 작은 배: 작은 임신 배, 작은 임신 복부, 임신 주수보다 작은 복부, 작은 임신 배 모양, 주수보다 작은 배
갑상선 비대: 커진 갑상선, 갑상선 부기, 비대한 갑상선, 갑상선 부종, 갑상선의 비대
혈변: 피 섞인 변, 붉은 대변, 혈액 변, 피가 나온 변, 혈액이 섞인 변
홍채가 흔들거림: 흔들리는 홍채, 떨리는 홍채, 불안정한 홍채, 움직이는 홍채, 떨리는 홍채 증상
와해된 언어: 비정상 언어, 무질서한 언어, 와해된 말, 혼란스러운 언어, 와해된 표현
기억장애: 기억 상실, 기억력 저하, 기억 문제, 기억력 장애, 기억 상실 증상
항문출혈: 항문에서 피, 항문 피출, 항문 출혈 증상, 항문의 피, 항문 혈액
태아: 아기, 배 속 아기, 태중 아기, 태아 상태, 태아의 성장
눈꼽: 눈의 찌꺼기, 눈곱, 눈의 분비물, 눈의 찌꺼기, 눈의 더러움
경부 운동 제한: 목 운동 제한, 목 움직임 불가, 경부 움직임 제한, 목의 움직임 문제, 경부 경직
다리 통증: 다리 아픔, 다리 불편감, 다리의 아픔, 다리 쑤심, 다리 통증 증상
오심: 메스꺼움, 구역질, 속 울렁거림, 구토감, 속 메스꺼움
호흡기감염: 호흡기 질환, 호흡기 감염증, 호흡기 문제, 호흡기 감염 상태, 호흡기 염증
의식 저하: 의식 흐림, 정신 혼미, 의식 감소, 의식 상실, 정신 저하
후궁반장: 경련성 몸 반장, 척추 후궁반장, 몸 경련, 후궁반장 증상, 척추 경련
차갑고 축축한 피부: 찬 피부, 차고 젖은 피부, 차갑고 촉촉한 피부, 차갑고 습한 피부, 차갑고 축축한 상태
갱년기 증상: 갱년기 변화, 갱년기 문제, 갱년기 장애, 갱년기 증후, 갱년기의 증상
각막 위로 결막 침범: 결막의 각막 침범, 결막이 각막으로, 각막 결막 문제, 결막의 각막 덮음, 각막 결막 침범
검붉은 색 피부: 검붉은 피부색, 어두운 붉은 피부, 검은 붉은 피부, 붉은색 피부, 어두운 붉은색 피부
복부 통증: 배 아픔, 복부 불편감, 복부 통증 증상, 배의 아픔, 복부의 통증
이명: 귀 울림, 귀에서 소리남, 귀의 소리, 귀가 울림, 귀소리 증상
동공산대: 커진 동공, 확장된 동공, 동공의 확장, 동공이 커짐, 넓어진 동공
수면 무호흡: 자는 중 숨 멈춤, 수면 중 호흡 정지, 자는 동안 호흡 문제, 수면 중 무호흡, 자면서 숨 안 쉼
정상적인 성생활 불가능: 성생활 문제, 성생활 어려움, 성생활 불가, 정상 성생활 못함, 성관계 문제
귀의 통증: 귀 아픔, 귀 불편감, 귀 통증 증상, 귀의 아픔, 귀 쑤심
림프 부종: 림프 붓기, 림프 부기, 림프 부종 증상, 림프의 부기, 림프 시스템 부기
손가락 힘이 약해짐:손가락 힘 부족,손가락이 약함,손가락 힘 빠짐,손가락 힘 없음,손가락이 힘이 없음
안면홍조:얼굴 붉어짐,얼굴 빨개짐,얼굴 홍조,얼굴이 붉어짐,얼굴이 빨개짐
사정이 일찍 됨:조루,빠른 사정,조기 사정,빨리 사정,사정이 빠름
의식 불명:의식 없음,정신 잃음,깨어나지 못함,의식 불투명,의식 소실
방사통:퍼지는 통증,연관 통증,멀리 뻗는 통증,확산되는 통증,멀리 퍼지는 통증
코 옆과 입꼬리 주름:팔자 주름,코 옆 주름,입가 주름,팔자 주름살,코 주변 주름
안검내반:눈꺼풀 말림,눈꺼풀 안쪽 말림,속눈썹 안쪽 말림,눈꺼풀 안쪽으로 말림,속눈썹 눈 쪽으로 말림
희발월경:드문 월경,생리 간격 길어짐,가끔 오는 생리,생리 주기 길어짐,드문드문 오는 생리
사지 마비:팔다리 마비,팔다리 마비,사지가 마비됨,팔다리 힘 없음,사지 움직이지 않음
수면 후에도 피로함:자는 데도 피곤함,잘 자도 피곤함,잠을 자도 피로함,자는 데도 피로함,수면 후 피로
권리를 강하게 주장:강력한 권리 주장,권리 요구 강함,권리 강하게 요구,강한 권리 주장,권리를 세게 주장
촘촘하게 난 털:빽빽한 털,촘촘한 털,많이 난 털,털이 촘촘함,숱 많은 털
성조숙증:이른 사춘기,조기 성숙,빨리 오는 사춘기,사춘기 일찍 옴,빠른 성숙
변실금:대변 실금,변 못 참음,대변 새어 나옴,변이 샘,대변 조절 불가
상처보다 넓게 자람:과잉 성장 상처,상처가 커짐,상처 과잉 성장,상처가 넓어짐,상처 확장
태아 저체중:저체중 태아,태아 몸무게 적음,작은 아기,태아가 작음,체중 적은 태아
소양감:가려움,가려운 느낌,피부 가려움,간지러움,가려운 증상
암점:시야의 암점,검은 점,시야에 보이는 점,눈 앞의 점,시야의 어두운 점
사물이 찌그러져 보임:왜곡된 시야,찌그러진 시야,물체 왜곡,사물이 비뚤어짐,물체가 찌그러짐
수면 시작이 어려움:잠들기 어려움,잠드는 데 시간 걸림,잠 못 듦,쉽게 잠들지 않음,수면 시작 어려움
신장 발육부전:신장 발달 부진,신장 성장 부족,신장 발육 저하,신장 미성숙,신장 발육 장애
저림:찌릿함,저린 느낌,찌릿찌릿함,저린 증상,손발 저림
발이 안쪽을 향해 걸음:발이 안으로 굽음,안쪽으로 걷는 발,발 안쪽으로 걸음,안쪽으로 휘는 발,발이 안쪽으로 향함
질에서 소변이 나옴:질 소변 누출,질 소변 샘,질에서 소변 흐름,질 소변 분비,질로 소변 나옴
좁은 공간에서의 불안감:폐소 공포증,좁은 곳 공포,밀실 공포,좁은 곳 불안,좁은 공간 두려움
눈의 통증:안구 통증,눈 아픔,눈이 쑤심,안구 아픔,눈의 아픔
야맹:야간 시력 저하,밤눈 어두움,야간 시야 불편,밤에 잘 안 보임,야간 시력 감퇴
눈물흘림:눈물 남,눈물이 흐름,눈물이 많음,눈물 분비,눈물 계속 남
갈증:목마름,목이 마름,갈함,물 마시고 싶음,갈한 느낌
귀에서 냄새가 남:귀 냄새,귀에서 악취,귀에서 나는 냄새,귀에서 냄새 풍김,귀 냄새 발생
다리가 잘 안 벌어짐:다리 벌리기 어려움,다리 안 벌어짐,다리 벌림 장애,다리 벌리기 불편,다리 벌리기 힘듦
외부 생식기가 모호함:모호한 생식기,애매한 생식기,불명확한 생식기,분명하지 않은 생식기,생식기 모호함
기침:기침소리,목에서 나는 기침,기침 증상,가래 기침,기침 소리 남
간부전:간 기능 상실,간 기능 부전,간 기능 저하,간 기능 장애,간 실패
나쁜 품행:불량한 행동,나쁜 행동,품행 문제,행실 불량,나쁜 행실
개 폐구 장애:입 열림 장애,입 닫기 어려움,입이 안 다물어짐,입 다물기 장애,입이 잘 안 닫힘
안면부 열상:얼굴 찢김,얼굴 상처,얼굴 열상,얼굴에 난 상처,얼굴 찢긴 상처
수면 중 이상한 행동:잠버릇,자면서 이상한 행동,수면 중 이상 행동,잠 중 이상한 행동,자면서 이상함
비정상적 질출혈:이상 질출혈,비정상적 생리,이상한 질출혈,생리 이상,질에서 이상 출혈
걸핏하면 눈물지음:쉽게 우는,자주 우는,눈물 잘 남,자주 눈물 흘림,눈물 많은
편도선 비대:편도 비대,편도 부음,편도선 부음,편도선 커짐,편도 부종
어깨 잡음:어깨에서 소리 남,어깨 소음,어깨에서 나는 소리,어깨 소리,어깨서 소리
성격의변화:성격 변함,성격 달라짐,성격 변동,성격 변화,성격 바뀜
간성뇌증:간성 뇌질환,간 뇌증,간 관련 뇌질환,간 질환 뇌증,간성 뇌병증
습진:피부염,피부 습진,가려운 피부병,피부 발진,피부 트러블
후각 감소:냄새 못 맡음,후각 둔함,후각 저하,냄새 인지 감소,후각 약해짐
근골격계 이상:뼈 근육 이상,근골격 문제,근육 뼈 문제,뼈 근육 문제,근골격 이상
갑상선이 단단해짐:딱딱한 갑상선,갑상선 경화,갑상선 단단함,갑상선 굳음,갑상선 딱딱해짐
운동 실어증:운동성 실어증,말 못하는 증상,말하기 어려움,언어장애,말 잘 안 나옴
손발가락이 6개 이상:여섯 손가락,여섯 발가락,손가락 여섯 개,발가락 여섯 개,다지증
피부경화:피부 굳음,딱딱한 피부,피부가 딱딱해짐,피부가 굳어짐,피부 단단해짐
황달:눈 노래짐,피부 노래짐,간질환 노란증상,눈과 피부 노래짐,황색증
권태감:무기력,피로감,지침,몸이 무거움,무력감
점액변:끈적한 변,점액이 섞인 변,묽은 변,점액질 변,끈적한 대변
손발을 계속 움직임:손발 가만두지 않음,손발 떨림,손발 쉼없이 움직임,손발 끊임없이 움직임,손발이 멈추지 않음
환부의 분비물:상처 분비물,환부의 고름,상처에서 나오는 것,환부에서 나옴,상처 고름
이인증:현실감 상실,비현실감,자기 분리감,현실과 동떨어짐,자기 이탈감
증상의 일중변동:하루 중 증상 변동,일중 증상 변화,하루 증상 변화,일중 증상 차이,증상의 하루 변화
변비:대변 못봄,변 못 봄,배변 어려움,변비증,변비 증상
실신:기절,졸도,정신 잃음,갑자기 의식 소실,정신 나감
붉은 색소 침착:피부 붉게 변함,붉은 색 피부,피부 붉어짐,붉은 반점,피부색 변화
과호흡:숨을 헐떡임,과하게 숨 쉼,과다 호흡,호흡 가빠짐,과하게 숨 참
한쪽 입 꼬리의 상승:한쪽 입 올라감,한쪽 입꼬리 올라감,한쪽만 웃음,입 한쪽 올라감,한쪽 입꼬리 올라짐
목 주변 부종:목 붓기,목 주변 붓기,목이 부음,목이 붓는 증상,목 주위 부종
가슴 두근거림:심장 두근거림,가슴 떨림,가슴이 두근거림,심장이 두근거림,가슴이 뛰는 느낌
침침함:시야 흐림,눈이 침침함,눈 침침,시력 저하,눈 흐릿함
태아 심박동수 이상:태아 심박 이상,태아 심박 문제,태아 심장 박동 문제,태아 심장 문제,태아 박동수 문제
서호흡:천천히 숨 쉼,느린 호흡,숨 천천히 쉼,천천히 숨 들이마심,느린 숨
하악전돌:아래턱 돌출,턱이 앞으로 나옴,아래턱 앞으로,돌출된 턱,아래턱 튀어나옴
아랫배가 뭉침:아랫배 뻐근함,아랫배 뭉친 느낌,배가 뭉침,아랫배 뻐근,아랫배 경직
불규칙호흡:호흡 불규칙,고르지 않은 숨,불규칙 숨쉬기,숨 불규칙,고르지 못한 호흡
코막힘:막힌 코,코가 막힘,숨쉬기 힘듦,답답한 코,코 막힌 느낌
스푼형 손톱:움푹 팬 손톱,숟가락 손톱,오목한 손톱,패인 손톱,오목형 손톱
골다공증:뼈 약해짐,골밀도 감소,뼈 부서짐,뼈 쉽게 부러짐,약한 뼈
하지의 근력약화:다리 힘 약함,다리 근력 저하,다리 힘 없음,다리 약해짐,하지 근력 저하
불규칙한 반흔:불규칙한 흉터,고르지 않은 흉터,고르지 않은 반흔,불규칙 흉터,불균형 흉터
이물감:낀 느낌,이물질 느낌,꺼끌함,거슬림,이상한 느낌
낮 시간대의 졸음:낮에 졸림,주간 졸림,낮에 잠 옴,낮잠 증상,낮시간 졸림
숨막히는 느낌:질식감,숨막힘,가슴 답답함,숨참,숨 가쁨
복부 불편감:배 불편함,복부 불편,배가 거북함,배 불편,복부 답답함
서맥:느린 맥박,맥박 느림,천천히 뛰는 심장,느린 심박수,느린 심장박동
이상행동:특이 행동,별난 행동,비정상 행동,이상한 행동,이상한 짓
가슴 답답:답답한 가슴,가슴 막힘,가슴이 무거움,가슴이 답답함,가슴 속 막힘
감각 과민:과도한 감각,민감한 감각,과민증,예민한 감각,과한 감각
깨어나면 기억하지 못함:잠깨면 기억 안 남,기억 못함,기억 상실,잠깨면 잊어버림,기억 잃음
음낭이 작아 보임:작아진 음낭,음낭 크기 감소,작은 음낭,줄어든 음낭,작아진 생식기
레이노이드 현상:손발 냉증,혈액순환 문제,손발 창백해짐,혈류 저하,손발 시림
파열부위 오목해짐:파열된 부분 들어감,파열된 곳 오목해짐,들어간 상처,파인 파열부위,오목한 파열 부위
