질환명,증상,관련질환,진료과목,코드
성홍열,"구토, 발진, 딸기혀, 열, 편도선 비대, 식욕부진","가와사키병, 인후두염, 풍진, 홍역",어린이병원,32011
세균성 이질,"구토, 열, 오심, 설사, 복부 통증","요독증, 용혈성 요독 증후군, 패혈증",감염내과,31667
셀리악병,"피부 긴장도 저하, 설사, 체중감소, 복부 통증, 우울, 발진, 생리불순, 식욕부진",흡수장애 증후군,소화기내과,32038
소건막류,"발의 통증, 굳은 살","망치족지, 무지외반증",정형외과,31731
소변 정체,"방광 팽만, 복부 통증, 소변을 볼 수 없음","양성 전립선 비대증, 신경인성 방광, 저활동성 방광",비뇨의학과,32205
소세포성 폐암,"객혈, 기침, 천명음","폐암, 카르시노이드 증후군, 비소세포성 폐암, 폐 전이","종양내과, 호흡기내과, 방사선종양학과, 심장혈관흉부외과",30470
소아 류마티스 관절염,"관절통, 손마디가 뻣뻣해짐, 뻣뻣함, 환부 부종, 관절 운동성 감소, 관절의 경직","관절염, 골관절염, 류마티스 관절염, 심낭염, 포도막염","소아정형외과, 류마티스내과",31799
소아마비,"이완성 마비, 무균성 뇌막염, 열",뇌성 마비,어린이병원,32030
소아청소년기 우울증,"수면장애, 우울, 감정 변화, 초조함, 권태감","기분부전증, 산후 우울증, 우울증",소아정신건강의학과,32505
소이증,"귀 모양의 변형, 청력장애","난청, 선천성 기형","성형외과, 이비인후과",31986
소장암,"요통, 설사, 복부 불편감, 위장관 출혈, 장폐색, 식욕부진, 복부 통증, 피부홍조, 황달, 복부팽만감, 천식, 안면홍조, 체중감소","대장 용종, 크론병, 위장관 기질 종양, 림프종, 호지킨 림프종, 비호지킨 림프종, 카르시노이드 증후군, 악성 흑색종, 신경섬유종, 셀리악병, 장폐색, 위장관 출혈","소화기내과, 종양내과, 방사선종양학과, 대장항문외과",31688
소장의 혈관 장애,"체중감소, 빈혈, 저혈압, 구토, 혈변, 설사, 흡수장애, 오심, 복부 통증",흡수장애 증후군,소화기내과,32040
소화관의 이물,"천명음, 호흡곤란, 목의 이물감, 구토, 침 분비 증가, 삼키기 곤란","이물질에 의한 기도 막힘, 식도의 이물","소화기내과, 응급의학과",32298
소화불량,"트림, 가슴 쓰림, 포만감, 식후 불쾌감, 체중감소, 복부 통증, 구토","위암, 췌장염, 급성 위장염, 췌장암, 메켈 게실, 식도염, 위식도 역류성 질환","가정의학과, 소화기내과, 노년내과",32041
속립성 결핵,"객혈, 식욕부진, 기침, 가래, 열, 체중감소","결핵성 복막염, 결핵성 수막염, 폐결핵, 결핵성 임파선염, 결핵, 위장관 결핵, 결핵성 골수염","감염내과, 호흡기내과",31744
손목 수근관 증후군,"감각 이상, 저림, 손의 통증, 손가락 힘이 약해짐",수족냉증,"신경과, 정형외과",31570
쇄골 골절,"팔의 통증, 환부 부종, 손상 부위 통증","병리적 골절, 팔죽지 골절, 난산, 골절 후 부정 유합, 불유합, 원위 요골과 척골 골절",정형외과,33500
쇼그렌 증후군,"안구건조, 관절염, 기억장애, 혼돈, 근력 약화, 입 주변 부종, 구강건조, 피로감, 질의 건조함, 피부 건조, 사지 마비, 경련","피부건조증, 치아 우식증[충치], 안구 건조증, 관절염","안과, 이비인후과, 류마티스내과",30815
수두,"물집, 열, 근육통, 식욕부진, 두통, 발진, 피부소양감, 발한","라이 증후군, 대상포진","감염내과, 피부과",31614
수두증,"기억장애, 구토, 수유 곤란, 마비, 두통, 시력 감소, 유두부종, 눈운동신경마비, 축 늘어짐","양성 뇌종양, 박테리아성 뇌수막염, 바이러스성 뇌수막염, 뇌종양","신경외과, 소아신경외과",30526
수막종,"뇌전증 발작, 두통, 운동장애, 시력 감소, 언어장애, 복시, 감정 변화","뇌종양, 양성 뇌종양",신경외과,31875
수면 무호흡증,"피부 긴장도 저하, 수면 무호흡, 몽유병, 불면증, 발기부전","수면보행증, 수면 장애","호흡기내과, 신경과, 이비인후과, 정신건강의학과, 치과",31880
수면 장애,"수면 유지가 어려움, 수면 주기의 변화, 수면 시작이 어려움, 수면 중 이상한 행동, 낮 시간대의 졸음, 수면 마비, 입수면기의 환각, 수면 무호흡, 몽유병","섬유근육통, 우울증, 비중격 만곡, 라임병, 만성 피로 증후군, 외상 후 스트레스 장애, 수면 무호흡증, 기면증, 하지불안증후군, 분리 불안 장애, 수면보행증, 폐경기 및 여성의 갱년기 상태, 고산병, 자가면역 질환","가정의학과, 신경과, 정신건강의학과",31891
수면보행증,"깨어나면 기억하지 못함, 수면 중 보행",수면 장애,정신건강의학과,31922
수부 습진,"물집, 피부균열, 피부가 두꺼워짐, 소양감, 색소 침착, 열","아토피성 피부염, 피부염, 건선, 접촉 피부염",피부과,32169
수부 외상,"손상 부위 출혈, 손가락의 변형, 손상부위 촉각 소실, 환부 부종","압궤 손상, 건초염, 건 손상","성형외과, 정형외과",31770
수신증,"빈뇨, 배뇨 시 통증, 덩어리가 만져짐, 오심","요로결석, 요관 협착","비뇨의학과, 소아신장과, 소아비뇨의학과",32192
수정대혈관 전위,"발한, 청색증, 수유 곤란, 호흡곤란, 가슴 두근거림, 발육부전, 빈맥","대혈관 전위, 선천성 심장 질환, 울혈성 심부전, WPW 증후군",소아심장외과,32116
수정체 탈구,"앞이 뿌옇게 보임, 시야장애, 홍채가 흔들거림","안와 골절, 마르판 증후군, 엘러스-단로스 증후군",안과,32240
수족구병,"두통, 열, 발진, 피부소양감, 환부 통증, 물집","헤르페스 바이러스 감염, 바이러스성 뇌수막염, 박테리아성 뇌수막염","소아청소년심장과, 소아신장과",31605
수족냉증,"환부 냉감, 시림","레이노병, 손목 수근관 증후군, 류마티스 관절염, 갑상선기능저하증, 폐경기 및 여성의 갱년기 상태",가정의학과,32089
순수적혈구무형성,"운동 시 호흡곤란, 창백, 호흡곤란, 피로감, 빈혈, 두통, 어지러움, 신경과민, 구강궤양, 식욕부진","백혈병, 자가면역 질환, 신부전","혈액내과, 소아청소년종양혈액과",31788
슈도모나스 감염,"피부염증, 환부 통증, 발진, 열","병원 감염성 폐렴, 부비동염, 급성 중이염, 만성 전립선염, 비임균성 요도염",감염내과,31623
스미스-마제니스 증후군 ,"근긴장의 이상, 인지장애, 위험한 행동 반복, 얼굴형태의 이상, 상동적 행동, 수면장애","묘성 증후군, 22번 염색체 장완 미세결실 증후군, 엔젤만 증후군, 18번 염색체 장완결실 증후군, 18번 염색체 단완결실 증후군, 윌리암스 증후군, 4번 염색체 단완결실 증후군, 프라더 윌리 증후군","의학유전학센터, 의학유전학과",32411
스터지 웨버 증후군,"태아, 신생아의 정신 장애, 반점, 뇌전증 발작, 안구돌출","녹내장, 화염상 모반, 뇌졸중, 모반, 간 혈관종, 신생아 경련, 발작","성형외과, 신경과, 소아신경과, 소아재활의학과",33495
스티븐 존슨 증후군,"물집, 물집성 표피 박리, 체모감소, 배뇨곤란, 호흡곤란, 압통, 안구건조, 결막염, 피부 및 점막의 염증, 반점, 코플릭 반점","폐렴, 호중구감소증, 안구 건조증, 이식편대숙주질환, 탈락 피부염","안과, 알레르기내과",31533
스티클러 증후군,"척추 후만, 시력 감소, 근시, 입술 및 입천장의 기형, 척추 측만, 청력장애, 얼굴형태의 이상, 망막 이상","골형성부전증, 파이퍼 증후군, 크루존 증후군, 에이퍼트 증후군, 연골무형성증, 연골형성저하증, 저인산증, 니스트 이형성증","의학유전학센터, 의학유전학과",32416
스파르가눔증,"환부 통증, 피부염증, 뇌전증 발작","원충성 질환, 선모충증, 요충증",감염내과,31668
스핑고 지질증,"학습장애, 실행증, 눈운동신경마비, 손 발 감각 저하, 경련","항인지질 항체 증후군, 이상지질혈증, 고콜레스테롤혈증","의학유전학센터, 소아내분비대사과, 소아신경과, 의학유전학과",32042
슬개건염,"열감, 압통, 관절잡음","슬관절 장애, 반월판 연골손상, 원판형 반월상연골",정형외과,31860
슬개골 골절,"무릎 부위 부종, 무릎 부위 통증, 압통","경골과 비골 골절, 슬관절 장애, 슬개건염, 관절염",정형외과,33527
슬관절 장애,"무릎 부위 통증, 무릎 부위 부종","대퇴 골절, 관절염, 패혈성 관절염, 슬개건염, 골관절염, 류마티스 관절염",정형외과,31567
슬라이 증후군,"각막 이상, 비장비대, 새가슴, 간비대, 척추 후만, 얼굴형태의 이상","산필리포 증후군, 모르키오 증후군, 뮤코다당질축적증, 마로토-라미 증후군, 헐러 증후군, 헌터 증후군","의학유전학센터, 의학유전학과",32410
습관성 유산,"습관성 유산, 복부 통증, 골반 통증, 비정상적 질출혈","자궁경관무력증, 비정상적 자궁, 질 출혈, 유산, 유산 후 계속되는 임신(다태), 자궁 외 임신, 항인지질 항체 증후군",산부인과,32158
습진,"피부소양감, 발적, 물집","피부염, 아토피성 피부염, 접촉 피부염",피부과,32481
승모판 기능부전,"호흡곤란, 가래, 기침","승모판 협착, 심장 판막 질환","심장내과, 심장혈관흉부외과, 심장병원",32157
승모판 협착,"가래, 기침, 가슴 통증, 호흡곤란, 운동 시 호흡곤란","승모판 기능부전, 심장 판막 질환","심장내과, 심장병원",32159
시신경염,"눈의 통증, 시야장애, 색깔이 퇴색해보임","다발성 경화증, 이하선염, 결핵, 상기도 감염, 홍역, 매독","신경과, 안과, 소아신경과",31298
시트룰닌혈증,"의식 저하, 보챔, 구토, 식욕부진","사이트린 결핍, OTC 결핍증","의학유전학센터, 소아내분비대사과, 의학유전학과",32345
식도 정맥류,"토혈, 빈맥, 오심, 호흡곤란, 발한, 구토, 빈혈",간경화,소화기내과,32043
식도암,"구토, 토혈, 삼키기 곤란, 목소리 변화, 체중감소, 기침",바렛 식도,"소화기내과, 종양내과, 영상의학과, 방사선종양학과, 신경외과, 이비인후과, 심장혈관흉부외과, 위장관외과",32044
식도염,"오심, 오한, 열, 토혈, 작열감, 삼키기 곤란, 구토, 흑색변",위식도 역류성 질환,"소화기내과, 노년내과",32045
식도의 이물,"기침, 목의 이물감, 침 분비 증가, 구토, 삼키기 곤란, 식욕부진","이물질에 의한 기도 막힘, 소화관의 이물","소화기내과, 응급의학과",32299
식도의 평활근종,"위장관 출혈, 구토, 토혈, 삼키기 곤란, 소화불량",식도암,소화기내과,32046
식도이완불능증,"잦은 딸꾹질, 체중감소, 가슴 통증, 삼키기 곤란, 트림","식도의 평활근종, 식도 정맥류, 바렛 식도, 식도의 이물, 흡인성 폐렴, 폐렴, 위식도 역류성 질환, 식도암, 식도염",소화기내과,33730
식중독,"구토, 설사, 열, 두드러기, 복부 통증","급성 위장염, 해외여행 시 주의사항","가정의학과, 소화기내과",32324
신경근병증,"근력 약화, 목의 통증, 감각 이상, 방사통, 요통","요추관 협착증, 경추 추간판 탈출증","신경과, 정형외과",31890
신경모세포종,"얼굴부종, 하지부종, 발한, 빈맥, 축 늘어짐, 호흡곤란, 안면홍조, 체중감소, 보챔, 복부팽만감","유잉육종, 림프종, 터너 증후군, 횡문근육종, 부신 종양, 비호지킨 림프종","방사선종양학과, 소아청소년종양혈액과, 소아외과",31037
신경섬유종,"갈색 피부 반점, 척추 측만, 시력 감소","모세혈관 확장성 운동실조 증후군, 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환, 로우 증후군, 레트 증후군, 결절성 경화증","성형외과, 정형외과, 피부과, 의학유전학센터, 소아내분비대사과, 의학유전학과, 소아신경외과",32395
신경성 식욕부진증,"이상행동, 체중감소, 무월경, 저혈압","신경성 폭식증, 섭식 장애, 철결핍빈혈, 골다공증, 불안 장애, 우울증","정신건강의학과, 소아정신건강의학과",32866
신경성 폭식증,"폭식, 구토, 복부 통증, 체중증가","기분부전증, 알코올 의존성, 불안 장애, 신경성 식욕부진증, 행동 및 충동 장애, 섭식 장애",정신건강의학과,32862
신경절 신경종,"흉부압박감, 설사, 발한, 고혈압, 근력 약화, 호흡곤란","신경섬유종, 신경종, 신경모세포종",신경외과,33486
신경종,"환부 부종, 환부 통증, 저림","청신경초종, 지간 신경종","신경과, 신경외과",31877
신경초종,"안면마비, 청력장애, 운동장애, 괄약근 기능 이상, 삼키기 곤란, 하지 마비, 이명","뇌종양, 양성 뇌종양, 척수병증, 청신경초종, 삼차 신경병증, 신경섬유종, 뇌신경 인플레, 신경절 신경종","종양내과, 방사선종양학과, 신경외과, 이비인후과",33620
신동맥 협착증,"운동 시 호흡곤란, 오심, 고혈압, 피로감, 빈혈, 식욕부진, 경련, 신부전, 소변량 감소","타카야수 혈관염, 만성 신부전, 급성 신부전, 신부전, 고혈압",신장내과,33596
신부전,"전신 부종, 피부 긴장도 저하, 얼굴부종, 신부전","울혈성 심부전, 급성 신부전, 말기 신질환, 렙토스피라증, 당뇨병, 만성 신부전, 사구체신염, 고혈압","신장내과, 신ㆍ췌장이식외과",31798
신생아 가사,"무호흡, 다발성 장기부전 증상","뇌성 마비, 신생아 호흡곤란증후군","신생아과, 어린이병원, 소아재활의학과",32028
신생아 경련,"눈꺼풀의 떨림, 불규칙호흡, 근육긴장, 무호흡",뇌전증,"어린이병원, 소아신경과",32024
신생아 괴사성 장염,"무호흡, 서맥, 기민상태, 설사, 구토, 저체온, 복부팽만감, 신경과민, 혈변","신생아 답즙정체증, 신생아 호흡곤란증후군","산부인과, 신생아과, 소아외과",32004
신생아 답즙정체증,"비장비대, 진한 소변색, 복수, 간비대, 피부소양감, 회색변, 출혈 경향성, 발육부전, 지방변","핵황달, 신생아 황달",소아소화기영양과,31372
신생아 호흡곤란증후군,"호흡곤란, 청색증, 함몰가슴",신생아 가사,"신생아과, 어린이병원, 소아재활의학과",32031
신생아 황달,"놀람반사의 약화, 황달","간염, 핵황달","신생아과, 어린이병원",32022
신세포암종,"혈뇨, 옆구리 통증","신우요관암, 신장의 신생물, 신우요관암의 전이, 전이성 신장암, 방광암, 낭성 신장 질환, 신우요관 폐색","종양내과, 방사선종양학과, 비뇨의학과",30628
신우요관 폐색,"구토, 혈뇨, 요로감염, 옆구리 통증",수신증,"비뇨의학과, 소아비뇨의학과",32207
신우요관암,"옆구리 통증, 혈뇨, 요통","방광암, 신세포암종, 수신증","가정의학과, 종양내과, 비뇨의학과",30657
신장 결석,"오심, 옆구리 통증, 구토, 혈뇨","요로결석, 요로 감염, 혈뇨, 요관 결석","비뇨의학과, 소아비뇨의학과",30633
신장 이형성증,"납작한 코, 축 쳐진 귀, 신장 발육부전",양수과소증,"어린이병원, 소아비뇨의학과",32204
신장의 신생물,복부팽만감,"전이성 신장암, 신세포암종, 낭성 신장 질환","신장내과, 비뇨의학과",31038
신종 플루,"두통, 목의 통증, 구토, 설사, 근육통, 오한",폐렴,"감염내과, 호흡기내과",31665
신증후군,"거품있는 소변, 가래, 기침, 호흡곤란, 전신 부종, 단백뇨, 복부팽만감, 눈 주변 부종, 하지부종","신세포암종, 전신 홍반성 낭창, 림프종, 당뇨병, 만성 B형 간염, 신부전, 사구체신염, 급성 신부전, 만성 신부전, 고콜레스테롤혈증, 자간전증, 알포트 증후군, 급성 B형 간염, 미세변화 신증후군","신장내과, 소아신장과",31980
신증후성 출혈열,"단백뇨, 저혈압, 다뇨, 열, 복부 통증, 두통, 요독증, 식욕부진",신부전,"감염내과, 신장내과",32190
신체형 장애,"온몸이 떨림, 발한, 생리불순, 손떨림, 가슴 답답, 가슴 두근거림, 얼굴이 화끈거림, 구강건조, 근육통, 권태감, 구토, 가슴 쓰림, 복부팽만감, 두통, 어지러움, 저림, 오심","건강염려증, 기분부전증, 우울증","노년내과, 정신건강의학과",31585
실어증,언어장애,"외상에 의한 뇌 손상, 뇌졸중, 치매, 뇌종양",정신건강의학과,31895
심계항진,"호흡곤란, 가슴 두근거림, 어지러움, 가슴 통증","우울증, 고혈압, 심방 세동, 부정맥, 심장 판막 질환, 갑상선기능항진증, 발작성 상심실성 빈맥, 심실 빈맥","심장내과, 심장병원",32165
심근병증,"말초부종, 피부 긴장도 저하, 운동 시 호흡곤란, 가슴 두근거림, 복수","부정맥, 고혈압, 울혈성 심부전","심장내과, 심장혈관흉부외과",30320
심근염,"근육통, 구토, 감기 증상, 피로감, 울혈성 심부전, 부정맥, 설사, 가슴 통증, 열","울혈성 심부전, 패혈증, 부정맥, 급성 류마티스성 열, 가와사키병","심장내과, 심장병원",31651
심낭 삼출 ,"호흡곤란, 빈맥, 식욕부진, 목소리 변화, 기침","심내막염, 전신 홍반성 낭창, 류마티스 관절염, 울혈성 심부전","심장내과, 심장병원",32166
심낭 압전,"저혈압, 경정맥 확장, 부정맥, 호흡곤란, 심음 감소","심낭염, 심낭 삼출","심장내과, 심장병원",32114
심낭염,"저혈압, 가슴 통증, 두통, 호흡곤란, 피로감, 쇼크, 열","심장 종양, 전신 홍반성 낭창, 신부전, 심낭 압전, 오래된 심근경색증, 류마티스 관절염","심장내과, 심장병원",32168
심내막염,"식욕부진, 호흡곤란, 열, 오한, 저혈압, 반점, 두통","류마티스 관절염, 심낭 삼출, 울혈성 심부전, 복부 대동맥류, 선천성 심장 질환, 흉부 대동맥류, 심장 판막 질환","심장내과, 심장병원",32143
심방 세동,"빈맥, 가슴 답답, 가슴 두근거림, 호흡곤란, 어지러움, 실신, 피로감","심근병증, 부정맥, 심장 판막 질환, 갑상선기능항진증","심장내과, 심장병원",30452
심방 조동,"빈맥, 가슴 두근거림, 가슴 통증, 어지러움, 호흡곤란","선천성 심장 질환, 심방 세동, 심근병증, 부정맥, 심실 세동, 심장 판막 질환, 심실 빈맥, 심낭염","심장내과, 심장병원",33634
심방 중격 결손,"운동 시 호흡곤란, 심잡음, 잦은 상기도 감염, 피부 긴장도 저하, 심방 부정맥, 청색증","방실 중격 결손, 심실 중격 결손, 폐성 고혈압","심장내과, 소아청소년심장과, 심장혈관흉부외과, 소아심장외과, 선천성심장병센터, 심장병원",31637
심부정맥 색전증,"환부 부종, 환부 통증, 말초의 허혈, 피부궤양, 청색증","폐 혈전색전증, 하지 정맥류, 동맥색전증 및 혈전증",혈관외과,31750
심실 빈맥,"실신, 가슴 두근거림, 빈맥, 호흡곤란",부정맥,"심장내과, 심장병원",32139
심실 세동,"실신, 빈맥, 가슴 두근거림, 호흡곤란","부정맥, 심낭염, 저체온증, 갑상선중독증, 울혈성 심부전","심장내과, 심장병원",32137
심실 중격 결손,"호흡기감염, 수유 곤란, 폐동맥 고혈압, 반복되는 폐렴, 심잡음, 심부전","방실 중격 결손, 심방 중격 결손, 울혈성 심부전, 폐성 고혈압, 풍진, 다운 증후군","심장내과, 소아청소년심장과, 심장혈관흉부외과, 소아심장외과, 선천성심장병센터, 심장병원",31633
심장 종양,"심부전, 부정맥, 돌연사",울혈성 심부전,"심장내과, 심장혈관흉부외과",30453
심장 판막 질환,"실신, 가슴 통증, 호흡곤란","대동맥판막 협착, 대동맥판막 기능부전, 승모판 협착, 승모판 기능부전","심장내과, 심장병원, 판막질환센터",30303
십이지장 궤양,"토혈, 가슴 통증, 소화불량, 가슴 쓰림, 구토, 위장관 출혈, 장폐색, 빈혈, 복부 통증, 흑색변",위궤양,"소화기내과, 노년내과",31624
십이지장염,"열, 복부 통증, 오심, 식욕부진, 복부팽만감, 구토, 가슴 쓰림, 소화불량, 트림","십이지장 궤양, 위염, 위궤양",소화기내과,32048
십자 인대 손상,"무릎 부위 부종, 파열음, 관절 불안정증, 환부 부종, 무릎 부위 통증, 관절잡음","슬관절 장애, 반달연골 이상, 슬개건염, 원판형 반월상연골, 반월판 연골손상",정형외과,33574
쌍태아 수혈 증후군,"심부전, 양수의 감소, 발육부전, 빈혈, 태아 저체중","양수과소증, 양수과다증, 다태아",산부인과,33404
아나필락시스,"빈맥, 의식 불명, 기침, 호흡곤란, 저혈압, 발진, 저림, 피부소양감, 가슴 통증, 구토",저혈압,"응급의학과, 알레르기내과",31517
아데노이드의 비대를 동반한 편도의 비대,"수면 무호흡, 호흡곤란, 구강호흡, 만성 부비동염, 코골이, 삼키기 곤란","부비동염, 만성 중이염, 편도결석, 편도선염",이비인후과,31959
아두골반 불균형,"자궁 수축, 분만 지연, 활력징후 이상, 태아 심박동수 이상","난산, 신생아 가사",산부인과,31836
아메바성 간농양,"열, 늑막삼출, 설사, 복부 통증","화농성 간농양, 간농양",소화기내과,32049
아메바성 이질,"혈변, 잔변감, 설사, 복부 통증",아메바성 간농양,소화기내과,32126
아밀로이드증,"무감각, 관절통, 심부전, 비장비대, 설사, 호흡곤란, 부정맥, 체중감소, 피로감, 위장관 출혈, 간비대, 삼키기 곤란, 치매, 기억장애, 발진, 신부전, 감각 이상, 출혈 경향성, 변비","부정맥, 치매, 류마티스 관절염, 다발골수종, 혈관성 치매","심장내과, 종양내과, 혈액내과",31785
아스퍼거 증후군,"감정 변화, 대인관계 어려움, 감각 과민","주의력결핍 과잉행동장애, 자폐증 / 자폐 스펙트럼 장애, 지적장애, 발달 장애","정신건강의학과, 소아정신건강의학과",32718
아스페르길루스증,"호흡곤란, 객혈, 오한, 천명음, 열",폐렴,"감염내과, 호흡기내과, 심장혈관흉부외과, 알레르기내과",32496
아킬레스 건 파열,"파열음, 발끝으로 설 수 없음, 파열부위 오목해짐, 발의 통증","소건막류, 슬개건염, 건초염, 건 손상, 아킬레스 건염",정형외과,31698
아킬레스 건염,"열감, 발의 통증, 환부 부종","슬개건염, 건초염, 아킬레스 건 파열, 건 손상",정형외과,31728
아토피성 피부염,"태선화, 습진, 물집, 피부 건조, 피부소양감, 발진, 환부의 분비물","천식, 피부염, 음식 알레르기, 약물 알레르기, 알레르기 비염, 접촉 피부염, 피부건조증, 농가진, 기저귀 피부염","피부과, 알레르기내과",31519
악성 고열증,"부정맥, 열, 대사성 산증, 빈호흡, 근육강직","근육긴장이상증, 근육병",응급의학과,32326
악성 신경교종,"뇌전증 발작, 기억장애, 두통","양성 뇌종양, 뇌종양","방사선종양학과, 산부인과, 소아청소년종양혈액과, 신경외과, 소아신경외과",31872
악성 종격동 종양,"열, 가슴 통증, 기침","종격동염, 양성 종격동 종양","종양내과, 방사선종양학과, 소아청소년종양혈액과, 심장혈관흉부외과, 암병원",30457
악성 중피종,"기침, 목소리 변화, 호흡곤란, 피로감, 체중감소, 방사통, 가슴 통증","비소세포성 폐암, 소세포성 폐암, 진폐증, 폐암","종양내과, 방사선종양학과",32113
악성 흉막 삼출,"가슴 통증, 기침, 호흡곤란, 불안","폐암, 유방암, 폐 전이, 소세포성 폐암, 림프종, 비소세포성 폐암","종양내과, 호흡기내과",32014
악성 흑색종,점 안에 다른 색 피부,"상피내 신생물, 기저세포 암종","종양내과, 방사선종양학과, 성형외과, 정형외과, 피부과, 피부암센터, 암병원",32475
악액질,"빈혈, 운동장애, 체중감소, 식욕부진, 권태감","항문암, 담관암, 대장암, 담낭암, 간세포암, 췌장암, 식도암, 직장암, 위암, 폐암, 당뇨병, 결핵",종양내과,32453
안검내반,"눈부심, 눈물흘림, 눈비빔","각막염, 각막 궤양, 결막염",안과,33648
안검염,"고름, 눈의 자극감, 궤양, 눈의 충혈, 안검내반, 눈 주변 부종, 소양감, 이물감","안구 건조증, 안검하수, 맥립종, 결막염",안과,32562
안검하수,"눈꺼풀 처짐증, 이마의 주름, 약시","눈꺼풀 장애, 중증 근무력증, 근육병","성형외과, 안과, 소아안과",32227
안검황색종,눈 주위 노란 반점,비립종,"성형외과, 피부과",32492
안구 건조증,"눈의 피로, 소양감, 눈의 자극감, 시야장애, 눈부심, 작열감","당뇨망막병증, 갑상선기능저하증, 류마티스 관절염, 쇼그렌 증후군, 전신 홍반성 낭창, 당뇨병, 출혈성 결막염, 눈꺼풀 장애, 비루관 폐쇄, 알레르기성 결막염, 결막염",안과,31289
안드로겐 불감성 증후군 ,"외부 생식기가 모호함, 무월경, 음낭에 없는 고환 또는 부고환, 남성의 여성형 유방",선천성 갑상선기능저하증,"의학유전학센터, 의학유전학과",32333
안면 골절,"개 폐구 장애, 부정교합, 치아의 탈락, 감각 이상, 안면부 열상, 발음 이상, 안면부 출혈, 치아 흔들림, 저작장애, 환부 통증",안면 비대칭,"성형외과, 치과",31563
안면 마비,"미각이상, 발음 이상, 청각과민, 안면마비, 눈물흘림","외상에 의한 뇌 손상, 고혈압, 모야모야병, 뇌졸중, 만성 중이염, 뇌경색, 급성 중이염, 대상포진, 외상성 경막하 출혈, 길랑-바레 증후군","성형외과, 신경과, 이비인후과",31763
안면 비대칭,"삐뚤어진 눈 코 입, 얼굴 중심선이 안맞음, 부정교합, 광대뼈 위치 이상, 한쪽 입 꼬리의 상승",두개 안면 부조화,"성형외과, 치과",31764
안면 홍조증,"불안, 피로감","폐경, 폐경기 및 여성의 갱년기 상태",피부과,32484
안면인식장애,"인지장애, 시야장애","치매, 양성 뇌종양, 뇌종양, 뇌졸중, 뇌경색, 혈관성 치매, 외상에 의한 뇌 손상, 알츠하이머병, 뇌출혈",신경과,33872
안암,"종양부위 부종, 눈의 충혈","맥락막 흑색종, 망막아세포종, 기저세포 암종, 악성 흑색종","종양내과, 방사선종양학과, 안과, 암병원",32136
안와 골절,"얼굴부종, 안구 이상, 감각 이상, 시력 감소, 눈 주변 부종, 복시, 비출혈",안면 골절,"성형외과, 안과",32147
알레르기 비염,"후각장애, 재채기, 코막힘, 소양감, 콧물","만성 비염, 상기도 감염, 부비동염, 천식, 아토피성 피부염","이비인후과, 알레르기내과",31516
알레르기성 결막염,"눈 주변 부종, 환부의 분비물, 눈의 충혈, 소양감","피부염, 아토피성 피부염, 결막염, 알레르기 비염, 천식","안과, 알레르기내과",31529
알츠하이머병,"우울, 기억장애, 시력 감소, 조급증, 방향감각 상실, 실인증, 실행증, 섬망, 판단력장애, 감정 변화, 언어장애","고혈압, 섬망, 비만, 당뇨병, 치매, 혈관성 치매, 다운 증후군, 고지혈증","신경과, 정신건강의학과",31999
알코올 의존성,"금단증상, 반사회적 인격장애, 불안","알코올성 간질환, 태아 알코올 증후군",정신건강의학과,31577
알코올성 간질환,"황달, 기운없음, 열, 복부 통증, 오심, 간성뇌증, 피로감, 식욕부진, 위장관 출혈, 구토, 복수","지방간, 자가면역성 간염, 전격성 간염, 독성 간염, 간염, 간성 뇌증",소화기내과,31671
알포트 증후군,"만성 신부전, 단백뇨, 난청, 각막 이상, 혈뇨, 신증후군, 수정체 이상, 망막 이상","난청, 혈뇨, 신증후군, 감각신경성 난청, 만성 신부전","신장내과, 어린이병원",32023
압궤 손상,"손상 부위 출혈, 환부 통증, 환부 부종, 마비","구획 증후군, 횡문근융해증","성형외과, 응급의학과, 정형외과",32295
야뇨증,"야뇨증, 수면 중 소변을 봄",울혈성 심부전,"비뇨의학과, 소아비뇨의학과",31998
야맹증,야맹,"망막색소변성증, 간디스토마, 설맹",안과,32241
약물 발진,발진,약물 알레르기,피부과,33911
약물 알레르기,"설사, 근육통, 림프 부종, 구토, 오심, 열, 두드러기, 발진, 관절통, 아나필락시스","음식 알레르기, 아나필락시스, 알레르기 비염, 두드러기, 천식",알레르기내과,31523
약시,시력 감소,"사시, 선천성 눈 기형, 백내장, 망막아세포종, 난시, 근시, 안검하수","안과, 소아안과",31312
양극성 장애,"사고의 비약, 말을 많이 함, 우울, 망상, 높아진 자존심","기분부전증, 우울증","정신건강의학과, 소아정신건강의학과",31580
양대혈관 우심실 기시증,"심부전, 운동 시 호흡곤란, 청색증, 호흡곤란, 무산소 발작, 발육부전, 폐동맥 고혈압","심실 중격 결손, 대혈관 전위, 팔로 사 징후, 폐성 고혈압","소아청소년심장과, 신생아과, 소아심장외과, 선천성심장병센터",31641
양방단실유입증,"호흡곤란, 무산소 발작, 심부전, 청색증, 수유 곤란, 발육부전","울혈성 심부전, 선천성 심장 질환","소아청소년심장과, 소아심장외과, 선천성심장병센터",31649
양성 전립선 비대증,"긴박뇨, 야간뇨, 지연뇨, 배뇨곤란, 혈뇨, 빈뇨, 잔뇨감, 배뇨장애, 요로감염","만성 전립선염, 전립선암","가정의학과, 비뇨의학과",30607
